# Time indexes blocks. 
# Columns Headings: 
# x	var0 u	var0 q	var0 sigma	var1 u	var1 q	var1 sigma	var2 u	var2 q	var2 sigma
# t = 0
0.832	1.65831	-1.99297	-3.32082	1.66056	-1.99566	-12.1929	1.66056	-1.99566	-5.54221
0.835	1.65233	-1.99697	-3.33949	1.65457	-1.99967	-12.2614	1.65457	-1.99967	-5.57337
0.838	1.64633	-2.00062	-3.35761	1.64857	-2.00332	-12.328	1.64857	-2.00332	-5.60361
0.841	1.64033	-2.00392	-3.37518	1.64255	-2.00662	-12.3925	1.64255	-2.00662	-5.63293
0.844	1.63431	-2.00686	-3.39219	1.63653	-2.00956	-12.4549	1.63653	-2.00956	-5.66132
0.847	1.62828	-2.00944	-3.40863	1.63049	-2.01215	-12.5153	1.63049	-2.01215	-5.68877
0.85	1.62225	-2.01168	-3.42451	1.62445	-2.01439	-12.5736	1.62445	-2.01439	-5.71527
0.853	1.61621	-2.01356	-3.43982	1.61841	-2.01628	-12.6298	1.61841	-2.01628	-5.74082
0.856	1.61017	-2.0151	-3.45455	1.61236	-2.01782	-12.6839	1.61236	-2.01782	-5.7654
0.859	1.60412	-2.01629	-3.4687	1.6063	-2.01901	-12.7358	1.6063	-2.01901	-5.78902
0.862	1.59807	-2.01713	-3.48227	1.60024	-2.01985	-12.7857	1.60024	-2.01985	-5.81166
0.865	1.59202	-2.01763	-3.49525	1.59418	-2.02035	-12.8333	1.59418	-2.02035	-5.83333
0.868	1.58597	-2.01778	-3.50764	1.58812	-2.0205	-12.8788	1.58812	-2.0205	-5.854
0.871	1.57992	-2.01759	-3.51943	1.58206	-2.02031	-12.9221	1.58206	-2.02031	-5.87368
0.874	1.57386	-2.01706	-3.53062	1.576	-2.01978	-12.9632	1.576	-2.01978	-5.89236
0.877	1.56781	-2.01619	-3.54122	1.56994	-2.01891	-13.0021	1.56994	-2.01891	-5.91004
0.88	1.56177	-2.01498	-3.5512	1.56389	-2.0177	-13.0388	1.56389	-2.0177	-5.92671
0.883	1.55572	-2.01344	-3.56058	1.55784	-2.01615	-13.0732	1.55784	-2.01615	-5.94236
0.886	1.54969	-2.01156	-3.56935	1.55179	-2.01427	-13.1054	1.55179	-2.01427	-5.957
